0	chr1	248956422	112	248956534
1	chr2	242193529	252513167	494706696
2	chr3	198295559	498166716	696462275
3	chr4	190214555	699295181	889509736
4	chr5	181538259	892227221	1073765480
5	chr6	170805979	1076358996	1247164975
6	chr7	159345973	1249605173	1408951146
7	chr8	145138636	1411227630	1556366266
8	chr9	138394717	1558439788	1696834505
9	chr10	133797422	1698811686	1832609108
10	chr11	135086622	1834520613	1969607235
11	chr12	133275309	1971537157	2104812466
12	chr13	114364328	2106716512	2221080840
13	chr14	107043718	2222714743	2329758461
14	chr15	101991189	2331287770	2433278959
15	chr16	90338345	2434736088	2525074433
16	chr17	83257441	2526365093	2609622534
17	chr18	80373285	2610812039	2691185324
18	chr19	58617616	2692333639	2750951255
19	chr20	64444167	2751788762	2816232929
20	chr21	46709983	2817153685	2863863668
21	chr22	50818468	2864531079	2915349547
22	chrX	156040895	2916075638	3072116533
23	chrY	57227415	3074345836	3131573251
